listenedAt,precipitaProb,tMin,tMax,sunrise,sunset,day_length,isWorkDay,cloud_pct,temp,feels_like,humidity,min_temp,max_temp,wind_speed,music_valence,music_arousal,initial_emotion_angry,initial_emotion_fear,initial_emotion_happy,initial_emotion_neutral,initial_emotion_sad,initial_emotion_surprise,last_emotion_angry,last_emotion_fear,last_emotion_happy,last_emotion_neutral,last_emotion_sad,last_emotion_surprise,rated_emotion_angry,rated_emotion_fear,rated_emotion_happy,rated_emotion_neutral,rated_emotion_sad,rated_emotion_surprise,idWeatherType_Cloudy (High cloud),idWeatherType_Partly cloudy,idWeatherType_Sunny intervals,classWindSpeed_Moderate,classWindSpeed_Weak,classPrecInt_No precipitation,timeOfDay_Afternoon,timeOfDay_Evening,timeOfDay_Morning,valence_initial_emotion,arousal_initial_emotion,valence_last_emotion,arousal_last_emotion
0.505,0.18,0.486,0.643,0.212,0.834,0.621,1,0.75,0.586,0.586,0.77,0.557,0.6,0.034,0.596,0.55,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0.401,0.839,0.444,0.746
0.512,0.18,0.486,0.643,0.212,0.834,0.621,1,0.2,0.6,0.6,0.71,0.571,0.6,0.027,0.596,0.55,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0.351,0.732,0.179,0.629
0.513,0.18,0.486,0.643,0.212,0.834,0.621,1,0.329,0.604,0.61,0.773,0.57,0.639,0.035,0.596,0.55,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0.174,0.509,0.288,0.575
0.515,0.18,0.486,0.643,0.212,0.834,0.621,1,0.2,0.6,0.6,0.72,0.571,0.614,0.027,0.596,0.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0.5,0.5,0.372,0.736
0.517,0.18,0.486,0.643,0.212,0.834,0.621,1,0.2,0.6,0.6,0.72,0.571,0.614,0.027,0.596,0.55,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0.475,0.838,0.175,0.755
0.518,0.18,0.486,0.643,0.212,0.834,0.621,1,0.2,0.6,0.6,0.72,0.571,0.614,0.027,0.596,0.55,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0.808,0.501,0.312,0.767
0.435,0.007,0.508,0.701,0.212,0.838,0.626,1,0.329,0.604,0.61,0.773,0.57,0.639,0.035,0.576,0.526,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0.252,0.72,0.368,0.596
0.342,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.52,0.497,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.177,0.831,0.165,0.562
0.343,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.682,0.54,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0.177,0.831,0.561,0.633
0.344,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.659,0.567,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.177,0.831,0.16,0.829
0.344,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.602,0.557,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.177,0.831,0.331,0.568
0.344,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.52,0.498,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0.177,0.831,0.421,0.575
0.344,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.552,0.478,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.177,0.831,0.197,0.839
0.345,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.58,0.559,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0.177,0.831,0.504,0.5
0.345,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.578,0.536,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.177,0.831,0.255,0.776
0.346,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.548,0.552,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.177,0.831,0.29,0.706
0.347,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.584,0.56,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.177,0.831,0.219,0.518
0.347,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.568,0.496,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0.177,0.831,0.229,0.786
0.347,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.602,0.521,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0.177,0.831,0.161,0.809
0.347,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.636,0.59,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.177,0.831,0.374,0.637
0.348,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.641,0.585,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.177,0.831,0.161,0.52
0.348,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.633,0.542,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.177,0.831,0.49,0.514
0.349,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.576,0.526,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0.177,0.831,0.219,0.644
0.349,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.554,0.521,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.177,0.831,0.253,0.538
0.35,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.497,0.506,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0.177,0.831,0.162,0.836
0.35,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.585,0.561,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.177,0.831,0.323,0.666
0.351,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.498,0.52,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0.177,0.831,0.163,0.505
0.351,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.558,0.536,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.177,0.831,0.166,0.519
0.351,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.676,0.647,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0.177,0.831,0.161,0.772
0.352,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.556,0.532,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.177,0.831,0.17,0.697
0.352,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.612,0.546,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0.177,0.831,0.289,0.513
0.353,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.572,0.511,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0.171,0.786,0.201,0.717
0.354,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.527,0.514,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0.171,0.786,0.16,0.532
0.357,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,0.529,0.571,0.034,0.655,0.6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.341,0.704,0.17,0.703
0.403,0.0,0.514,0.714,0.212,0.838,0.626,1,0.75,0.571,0.571,0.86,0.543,0.586,0.021,0.51,0.546,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0.179,0.839,0.241,0.509
0.404,0.0,0.514,0.714,0.212,0.838,0.626,1,0.75,0.571,0.571,0.86,0.543,0.586,0.021,0.67,0.606,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.179,0.839,0.278,0.585
0.408,0.0,0.514,0.714,0.212,0.838,0.626,1,0.75,0.571,0.571,0.85,0.543,0.586,0.021,0.574,0.54,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.307,0.84,0.471,0.839
0.433,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,0.571,0.643,0.021,0.556,0.542,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0.502,0.502,0.167,0.779
0.433,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,0.571,0.643,0.021,0.618,0.588,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0.502,0.502,0.756,0.534
0.434,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.78,0.571,0.643,0.021,0.502,0.491,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.84,0.5,0.839,0.501
0.437,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,0.571,0.643,0.021,0.594,0.582,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.492,0.509,0.559,0.509
0.437,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,0.571,0.643,0.021,0.525,0.552,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.492,0.509,0.496,0.502
0.438,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,0.571,0.643,0.021,0.544,0.364,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.492,0.509,0.163,0.645
0.438,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,0.571,0.643,0.021,0.652,0.592,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.492,0.509,0.162,0.836
0.438,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,0.571,0.643,0.021,0.576,0.598,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.492,0.509,0.166,0.813
0.439,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,0.571,0.643,0.021,0.633,0.592,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.492,0.509,0.351,0.817
0.439,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,0.571,0.643,0.021,0.611,0.563,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.492,0.509,0.171,0.599
0.44,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,0.571,0.643,0.021,0.48,0.534,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0.492,0.509,0.172,0.765
0.441,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,0.571,0.643,0.021,0.57,0.56,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0.492,0.509,0.836,0.501
0.442,0.0,0.514,0.714,0.212,0.838,0.626,1,0.0,0.6,0.614,0.79,0.571,0.643,0.021,0.44,0.496,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.492,0.509,0.351,0.745
