listenedAt,precipitaProb,tMin,tMax,sunrise,sunset,day_length,isWorkDay,cloud_pct,temp,feels_like,humidity,wind_speed,music_valence,music_arousal,idWeatherType = Clear sky,idWeatherType = Partly cloudy,idWeatherType = Sunny intervals,idWeatherType = Rain and thunderstorms,idWeatherType = Cloudy,idWeatherType = Intermittent rain,idWeatherType = Intermittent heavy rain,idWeatherType = Hail,idWeatherType = Intermittent ligth rain,idWeatherType = Snow showers,idWeatherType = Snow,idWeatherType = Showers and thunderstorms,idWeatherType = Heavy showers/rain,idWeatherType = Light showers/rain,idWeatherType = Frost,idWeatherType = Convective clouds,idWeatherType = Drizzle,idWeatherType = No information,idWeatherType = Thunderstorms,idWeatherType = Showers/rain,idWeatherType = Rain/showers,idWeatherType = Rain and snow,idWeatherType = Cloudy (High cloud),idWeatherType = Mist,idWeatherType = Cloudy ,idWeatherType = Light rain,idWeatherType = Fog,idWeatherType = Heavy rain/showers,classWindSpeed = Moderate,classWindSpeed = Weak,classWindSpeed = Strong,classWindSpeed = Very,classPrecInt = No precipitation,classPrecInt = Weak,classPrecInt = Strong,classPrecInt = Moderate,timeOfDay = Afternoon,timeOfDay = Evening,timeOfDay = Morning,timeOfDay = Night,timeOfDay = Early Morning,initial_emotion = angry,initial_emotion = fear,initial_emotion = happy,initial_emotion = neutral,initial_emotion = sad,initial_emotion = surprise,initial_emotion = disgust,valence_last_emotion,arousal_last_emotion,valence_initial_emotion,arousal_initial_emotion
0.759,0.0,0.486,0.7,0.215,0.839,0.624,0,0.0,0.643,0.643,0.6,0.075,0.62,0.521,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.46,0.56,0.595,0.5
0.774,0.0,0.486,0.7,0.215,0.839,0.624,0,0.0,0.629,0.629,0.6,0.075,0.508,0.508,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.362,0.711,0.561,0.5
0.792,0.0,0.486,0.7,0.215,0.839,0.624,0,0.0,0.629,0.629,0.6,0.075,0.44,0.484,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.298,0.452,0.501,0.5
0.794,0.0,0.486,0.7,0.215,0.839,0.624,0,0.0,0.629,0.629,0.6,0.075,0.58,0.509,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.692,0.563,0.501,0.5
0.798,0.0,0.486,0.7,0.215,0.839,0.624,0,0.0,0.629,0.629,0.6,0.075,0.562,0.549,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.687,0.539,0.501,0.5
0.801,0.0,0.486,0.7,0.215,0.839,0.624,0,0.0,0.629,0.629,0.6,0.075,0.576,0.539,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5,0.521,0.501,0.5
0.805,0.0,0.486,0.7,0.215,0.839,0.624,0,0.0,0.629,0.629,0.6,0.075,0.541,0.509,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.447,0.777,0.501,0.5
0.808,0.0,0.486,0.7,0.215,0.839,0.624,0,0.0,0.629,0.629,0.65,0.075,0.592,0.564,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.121,0.757,0.501,0.5
0.813,0.0,0.486,0.7,0.215,0.839,0.624,0,0.0,0.629,0.629,0.65,0.075,0.522,0.502,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.53,0.52,0.501,0.5
0.815,0.0,0.486,0.7,0.215,0.839,0.624,0,0.0,0.629,0.629,0.65,0.075,0.576,0.483,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.302,0.434,0.501,0.5
0.818,0.0,0.486,0.7,0.215,0.839,0.624,0,0.0,0.629,0.629,0.65,0.075,0.52,0.51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.274,0.451,0.501,0.5
0.821,0.0,0.486,0.7,0.215,0.839,0.624,0,0.0,0.629,0.629,0.65,0.075,0.583,0.536,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.53,0.563,0.501,0.5
0.908,0.0,0.486,0.7,0.215,0.839,0.624,0,0.0,0.557,0.557,0.83,0.062,0.414,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.385,0.501,0.812,0.5
0.919,0.0,0.486,0.7,0.215,0.839,0.624,0,0.0,0.557,0.557,0.83,0.062,0.546,0.512,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.555,0.654,0.812,0.5
0.922,0.0,0.486,0.7,0.215,0.839,0.624,0,0.0,0.557,0.557,0.83,0.062,0.556,0.503,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.579,0.54,0.812,0.5
0.924,0.0,0.486,0.7,0.215,0.839,0.624,0,0.02,0.557,0.557,0.83,0.043,0.536,0.539,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.724,0.551,0.812,0.5
0.927,0.0,0.486,0.7,0.215,0.839,0.624,0,0.02,0.557,0.557,0.83,0.043,0.511,0.506,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.123,0.747,0.812,0.5
