listenedAt,rated_emotion,precipitaProb,tMin,tMax,sunrise,sunset,day_length,isWorkDay,cloud_pct,temp,feels_like,humidity,min_temp,max_temp,wind_speed,music_valence,music_arousal,idWeatherType = Clear sky,idWeatherType = Cloudy (High cloud),idWeatherType = Partly cloudy,idWeatherType = Sunny intervals,idWeatherType = Frost,idWeatherType = Rain and thunderstorms,idWeatherType = Intermittent ligth rain,idWeatherType = Light rain,idWeatherType = Intermittent rain,idWeatherType = Snow showers,idWeatherType = Cloudy,idWeatherType = Rain and snow,idWeatherType = Showers/rain,idWeatherType = Fog,idWeatherType = Snow,idWeatherType = No information,idWeatherType = Rain/showers,idWeatherType = Thunderstorms,idWeatherType = Hail,idWeatherType = Light showers/rain,idWeatherType = Showers and thunderstorms,idWeatherType = Heavy showers/rain,idWeatherType = Cloudy ,idWeatherType = Mist,idWeatherType = Intermittent heavy rain,idWeatherType = Heavy rain/showers,idWeatherType = Drizzle,idWeatherType = Convective clouds,classWindSpeed = Moderate,classWindSpeed = Weak,classWindSpeed = Strong,classWindSpeed = Very,classPrecInt = No precipitation,classPrecInt = Strong,classPrecInt = Moderate,classPrecInt = Weak,timeOfDay = Afternoon,timeOfDay = Evening,timeOfDay = Morning,timeOfDay = Night,timeOfDay = Early Morning,initial_emotion = angry,initial_emotion = fear,initial_emotion = happy,initial_emotion = neutral,initial_emotion = sad,initial_emotion = surprise,initial_emotion = disgust,valence_last_emotion,arousal_last_emotion,valence_initial_emotion,arousal_initial_emotion
0.342,0.852|0.2,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.52,0.497,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.546,0.581,0.177,0.831
0.343,-0.78|-0.32,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.682,0.54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.336,0.486,0.177,0.831
0.344,0.79|0.12,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.659,0.567,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.528,0.694,0.177,0.831
0.344,0.81|0.216,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.602,0.557,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.618,0.588,0.177,0.831
0.344,-0.892|-0.325,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.52,0.498,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.238,0.456,0.177,0.831
0.344,0.952|0.235,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.552,0.478,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.587,0.728,0.177,0.831
0.345,0.15|0.06,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.58,0.559,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.54,0.515,0.177,0.831
0.345,0.896|0.321,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.578,0.536,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.602,0.718,0.177,0.831
0.346,0.786|0.263,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.548,0.552,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.591,0.669,0.177,0.831
0.347,0.823|0.361,0.0,0.5,0.714,0.212,0.838,0.626,1,1.0,0.543,0.543,0.89,17.0,20.0,0.034,0.584,0.56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.565,0.599,0.177,0.831
