music_name,valence,arousal
Alan Walker - Faded.mp3,0.151,0.052
Amar Pelos Dois.mp3,-0.224,-0.02
Bruno Mars - The Lazy Song (Official Music Video).mp3,0.125,0.077
Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie) [Official Video].mp3,0.151,0.197
Fifth Harmony - Work from Home (Official Video) ft. Ty Dolla $ign.mp3,0.193,0.1
Imagine Dragons - Believer (Official Music Video).mp3,0.151,0.121
Käärijä - Cha Cha Cha _ Finland 🇫🇮 _ Official Music Video _ Eurovision 2023.mp3,0.366,0.148
Mahmood - Soldi - Italy 🇮🇹 - Official Music Video - Eurovision 2019.mp3,0.236,0.176
Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars.mp3,0.265,0.183
OneRepublic - Counting Stars.mp3,0.113,0.075
Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song).mp3,0.149,0.079
Taylor Swift - Shake It Off.mp3,0.233,0.174
twenty one pilots - Stressed Out [OFFICIAL VIDEO].mp3,0.143,0.023
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack.mp3,0.041,-0.005
