filename,chroma_sftf_mean,chroma_sftf_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
a-ha - Take On Me (Official Video) [Remastered in 4K].mp3,0.39294705,0.082045235,0.188276,0.0046516326,2804.2548269350377,506366.55031746236,2726.616322521012,80746.14499465431,5992.022100395462,1412013.0558793838,0.13515413361068113,0.003990128323708444,-1.0370339e-06,0.013496893,1.7909937e-05,1.7909937e-05,112.34714673913044,-39.917194,2055.4543,72.97507,516.7591,5.4850354,207.02376,27.586735,121.39001,3.6329815,117.37362,12.098839,79.23734,-2.3601067,93.118546,5.196821,60.040104,-6.8152194,84.642914,2.6050723,94.80693,-2.8075538,51.816807,2.8068144,49.023552,-1.9910004,46.163788,0.44026387,47.354877,-2.5190537,37.83432,-1.3737955,35.458145,-5.7210484,37.261322,2.0389223,38.060783,-2.5294876,46.239285,-1.9956322,64.15362
Abba - Dancing Queen (Official Music Video Remastered).mp3,0.35558262,0.077883445,0.27871704,0.0023446586,2737.0996289217906,190646.90083446825,2468.7735792182266,77201.4755169675,5321.317822719137,971812.8540701615,0.15961241353037925,0.0011848580864501446,5.861218e-05,0.043990508,0.0009460096,0.0009460096,99.38401442307692,29.84586,490.52383,75.02614,258.85327,-22.879738,192.18605,20.110794,188.38835,-3.0176032,73.04474,6.029334,69.84239,1.9728163,65.77092,2.727565,55.21326,3.358064,68.71865,1.8073523,40.477924,-1.7392083,41.264385,3.1931477,54.326626,-4.7404613,62.693367,6.066547,51.2615,-1.4044868,50.1649,-1.9950746,65.746666,3.5195138,56.809017,3.8541608,55.868084,-1.9997158,60.462257,-2.3853655,63.570496
ABBA - Gimme! Gimme! Gimme! (A Man After Midnight).mp3,0.37279227,0.088593245,0.053538356,0.0010318303,2962.7622442396764,394434.1547445055,2732.399203672817,112184.48585383991,6101.171440384336,1736223.0744047202,0.15974771127612228,0.0031340850287217606,-5.420085e-08,0.0007259849,-3.644041e-06,-3.644041e-06,117.45383522727273,-165.30391,2178.4856,66.27465,463.98926,-9.595387,472.32928,15.7918625,197.79634,2.1365135,87.155525,1.0625238,245.56136,4.866532,119.44889,2.91782,102.56494,-1.2689562,63.81678,-0.15900868,77.09015,-5.439828,43.433014,6.770319,73.81922,-4.6078143,76.92004,-1.5159711,50.655476,-5.7923923,50.599556,-4.498686,40.999294,-1.7392646,42.516174,-4.2071724,54.59561,-2.6802244,56.577957,1.201564,71.40437
Abba - Mamma Mia (Official Music Video).mp3,0.4149596,0.079604566,0.21140434,0.004413888,2624.0891217989565,543722.1261339791,2571.861667856368,174288.6096122232,5449.64204676011,2235818.545193306,0.12945235402960525,0.0034811088694837716,-3.366e-05,0.021300917,-1.0356489e-05,-1.0356489e-05,135.99917763157896,-25.720072,3660.5164,80.35763,627.44507,-6.0333476,399.156,31.236116,176.86905,2.6781776,85.04857,7.0442705,85.24225,2.901483,78.60522,3.710938,79.28596,3.9998326,54.20957,4.6758137,56.41242,-2.3982475,69.205055,4.8701806,48.890095,-4.3271675,45.439007,4.701335,47.174927,-4.6423035,54.53499,-0.6335977,49.067295,-2.7948415,38.05919,3.9758036,44.29868,-2.7939157,72.158844,2.9633443,107.22493
ABBA - Take A Chance On Me (Official Lyric Video).mp3,0.41930145,0.08265517,0.16794373,0.0030609062,2789.6234296392663,635817.8278606693,2865.914361438443,146161.5453863403,6262.587130992405,2371878.439161647,0.12100985028057276,0.0037082857861402904,2.250851e-05,0.0138274105,0.00093282055,0.00093282055,107.666015625,-55.7816,1640.8605,79.01358,536.50006,11.067078,351.46213,20.438105,169.21179,10.416407,77.211784,10.425316,106.64761,1.2231807,60.2673,12.283836,47.43928,1.3695246,50.392956,6.8723626,49.033035,-0.93807256,37.071026,6.557915,38.343853,-6.115012,40.55957,4.2606206,27.384363,-6.842953,30.263063,-1.2168328,44.091167,-4.9433856,32.826763,-1.2959825,36.115604,-7.4676704,46.207565,4.027189,46.24127
"AC_DC - Highway to Hell (Live At River Plate, December 2009).mp3",0.41642737,0.08862727,0.16089205,0.0019376716,2831.977993508044,314741.21372557385,2648.8595243518375,145642.0109105636,5794.048297515964,1810057.6265365945,0.15274510811726005,0.002640511793198518,-4.008128e-06,0.007694119,-9.971318e-05,-9.971318e-05,123.046875,-29.164682,1025.8904,72.19303,304.2815,-19.755146,536.7652,11.111578,233.91846,3.55298,122.82054,1.7535585,96.91186,-6.2682304,113.55447,-3.9544864,103.48346,3.3794005,91.41999,0.72547555,93.90679,-3.2315714,87.958725,-0.6033417,65.104805,-6.0759068,62.74526,-1.6116478,94.162315,-7.1954994,67.62508,2.5591998,50.882076,-4.2981915,72.91402,-0.09468771,76.40322,-3.0587249,42.182022,0.8192604,40.88905
Adele - Rolling in the Deep (Official Music Video).mp3,0.33360934,0.08967436,0.114157096,0.0006673063,2264.304984697324,242801.98317677944,2624.6364441715996,96222.46021610977,5260.976520928067,1650730.4122215991,0.08424590025154799,0.0010083669040648012,-3.0228018e-06,0.009654862,-1.8652684e-06,-1.8652684e-06,103.359375,-114.96917,1656.6957,93.3172,305.02383,6.1391926,149.59581,22.976135,107.759605,10.7081375,70.67589,9.623603,84.42736,2.4866884,69.86233,10.376135,88.487335,3.554676,53.69869,7.3447657,53.204975,-7.044448,45.70518,7.0486813,53.615288,-2.3022866,60.332268,5.98417,46.37919,5.183693,57.187904,2.6694195,37.352825,3.5570574,85.53642,2.5600972,58.56468,-5.187537,45.500896,7.2385173,68.79235
Alan Walker - Faded.mp3,0.3203018,0.08574386,0.24522385,0.0023943332,2383.6335476670365,586837.496266944,2626.8954275198894,235796.02046465504,5265.609826244437,3453799.461887497,0.10093022869098298,0.0017462848226139844,1.8903076e-05,0.041304164,0.0001496291,0.0001496291,89.10290948275862,-27.25883,1919.9988,92.66706,936.5126,2.9368958,271.73795,15.899311,101.601395,3.412475,67.82626,11.182217,94.13324,8.311737,90.851776,5.7701974,77.46862,5.190518,70.96631,6.6966534,47.12323,-1.8998471,57.59103,3.2719204,44.32113,2.3568928,60.750385,5.3859,72.14251,1.5665468,79.025116,6.7278337,98.98221,2.3961046,82.86441,3.0925174,57.467117,1.5988101,91.76828,7.325562,96.007385
Amar Pelos Dois.mp3,0.27300176,0.09354903,0.12544766,0.0024806056,1280.4036773041141,538595.8115464558,1723.306239997971,210739.88272626747,2526.0597252624325,2233692.622014829,0.04959002515479876,0.0022535483333388485,-3.283655e-05,0.015003685,-2.594756e-05,-2.594756e-05,129.19921875,-187.57524,1545.2579,144.02182,1196.9783,1.1668549,248.96358,37.760876,158.1592,4.3539324,83.24608,2.5006454,83.745705,-0.12696692,80.20413,1.4833322,62.89282,-3.6785417,76.89939,-3.3550289,82.72712,-10.038766,56.088875,0.19330122,45.44835,-5.1013002,45.059937,-4.0544376,59.562584,-0.61028653,51.45048,-1.0424063,90.68023,-2.1822324,51.336246,-0.37694377,35.51377,-4.087102,54.824097,-0.95805997,77.37731
Avicii - Hey Brother (Lyric).mp3,0.30518055,0.09004005,0.1556405,0.002487698,2323.636513533381,926610.4978624315,2274.3578311949937,171837.51886670713,4664.496794426035,2888932.3354788404,0.11615235886706657,0.006740309949408146,1.9469766e-05,0.018922208,3.5694313e-05,3.5694313e-05,129.19921875,-100.832825,5407.2715,85.62537,1614.7526,-10.460575,310.9047,25.070332,281.88568,-6.2240915,358.39825,7.640775,108.00324,-12.827644,228.06879,-6.2545896,128.67017,-17.738327,85.62109,-9.563493,93.91051,-7.338391,87.81474,-6.1314387,107.46348,-15.598012,70.77432,-6.909996,79.409004,-13.12045,55.005116,0.47945705,68.42648,-8.730257,76.564964,-4.169887,48.571167,-7.7610908,55.574257,-9.073768,51.432346
