filename,length,chroma_sftf_mean,chroma_sftf_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
a-ha - Take On Me (Official Video) [Remastered in 4K].mp3,3307500,0.37871218,0.08898065,0.19137567,0.0068316925,2679.5578426163947,675787.0694672422,2636.0613378474554,233665.0070664707,5755.761862362132,2236148.7875355445,0.12551375350715943,0.004541258967685236,1.9849804e-06,0.018656129,3.4246597e-05,3.4246597e-05,172.265625,-55.832077,8416.268,73.39475,727.86285,3.8383994,242.88864,25.813086,151.8784,2.8421783,114.99062,12.41395,78.18959,-1.3247797,93.453384,7.194242,77.909134,-5.2335114,82.091736,5.1764627,99.21142,-1.4627919,65.61482,3.3690631,56.951412,-2.9994867,59.05167,0.75568885,51.324177,-1.7925278,42.135414,1.5074803,54.3973,-4.1996994,50.47862,2.083793,40.15412,-2.3153982,51.6952,-0.89752865,70.60421
Abba - Dancing Queen (Official Music Video Remastered).mp3,3307500,0.35321897,0.083018914,0.24309687,0.004273455,2605.2487566776185,390197.5564632565,2522.4515758496627,188590.36133744454,5379.897468496033,1731529.8862769136,0.13469170254450463,0.0024626303729428337,4.6095975e-05,0.03539547,0.00082514476,0.00082514476,99.38401442307692,-2.2786002,5042.66,79.76864,481.8102,-11.605442,349.551,17.778236,171.2567,-1.9530904,76.054115,6.5117636,77.35634,0.46086115,59.874634,3.6800709,54.26474,0.4418062,55.97413,3.5804374,45.150047,-2.8277247,43.273117,2.6641362,47.41547,-2.407228,64.60046,3.4377146,55.314724,-3.0861638,52.308735,-3.187402,52.66739,-2.4413915,71.48491,1.7483066,55.47525,-2.73783,55.902744,0.3369251,58.48533
ABBA - Gimme! Gimme! Gimme! (A Man After Midnight).mp3,3307500,0.3688869,0.09002133,0.043168776,0.0010379929,2866.7817319344294,835010.6096746828,2657.047917978683,284597.1227224278,5873.947814374516,3126255.150644639,0.15202281467685758,0.00640660082253323,2.615988e-07,0.0005408313,5.0466824e-06,5.0466824e-06,117.45383522727273,-213.23518,7101.2583,71.056725,907.83826,-5.815755,908.70044,16.653149,227.06926,2.4282026,146.29611,3.2061124,226.12032,5.259765,127.28156,3.004318,109.00563,-2.4109085,73.340805,1.4755536,77.10439,-5.4430823,48.41375,4.0435376,77.37342,-4.16097,65.05833,-0.9623903,46.308952,-4.350147,49.305656,-3.562618,45.781715,-0.8629843,45.9423,-2.6774943,60.28574,-1.5975081,60.374893,2.0000427,67.53869
Abba - Mamma Mia (Official Music Video).mp3,3307500,0.37368485,0.0849112,0.19338822,0.005447839,2570.5587783100464,594700.743527456,2415.8490796724845,251842.06277540608,5139.548921850813,2423431.743190987,0.13692985983455883,0.003997078747876115,-1.0846166e-05,0.020030513,1.664932e-05,1.664932e-05,135.99917763157896,-44.737255,5273.2544,81.00551,774.4084,-19.493147,858.5052,26.607542,333.7249,-2.7200785,217.01587,3.5570626,169.53514,-0.42297903,116.42274,0.7135777,130.3076,0.96544254,97.98947,2.5392816,62.28747,-4.9057994,77.94092,3.9625993,64.64359,-5.676791,61.167274,4.1823406,52.09401,-5.693813,52.847275,-0.48537385,60.560314,-2.585435,50.694317,4.1281505,45.112545,-2.6917815,66.01641,3.0333602,101.789825
ABBA - Take A Chance On Me (Official Lyric Video).mp3,3307500,0.40820926,0.08265112,0.16634609,0.0036012414,2726.567356147218,424478.63442822313,2690.289042998492,137418.29767171637,5799.434931610391,1985466.727558286,0.1307635327979876,0.002710281256582564,3.5876288e-05,0.013878585,0.0009271537,0.0009271537,107.666015625,-51.231674,2478.6792,76.775986,518.9017,-3.0319433,478.86044,22.781261,232.38939,7.7729793,118.69426,7.85034,169.47519,2.7059648,75.35812,8.175914,82.55937,1.7525421,57.992386,7.978838,68.137184,-3.225349,57.578445,6.582516,45.370853,-6.990613,52.08323,4.4695015,44.79217,-4.967225,46.81682,-3.1233416,75.45136,-4.344983,61.825287,-0.0048627164,50.276325,-4.82764,61.57771,6.3638763,83.14232
"AC_DC - Highway to Hell (Live At River Plate, December 2009).mp3",3307500,0.41596782,0.08390873,0.16473083,0.002077108,2488.4349325404633,412647.9749245091,2312.3904233000076,249972.99869972587,4945.080097777187,2159413.1341361245,0.13677029919698142,0.002990267520326608,-2.197606e-06,0.011718463,-8.917297e-05,-8.917297e-05,123.046875,-36.523266,1832.7914,88.79439,698.65485,-34.87652,748.3497,18.021969,321.73962,-3.24747,187.68488,1.8464497,96.838776,-4.7477183,87.90143,-0.84533155,100.2408,2.5760999,76.32659,-0.21771358,115.99596,-1.4196237,61.103527,-2.0740101,69.10794,-6.4079366,44.465237,-4.4060907,71.70368,-9.280072,60.308933,1.2173922,44.654858,-6.454632,54.786,-2.318659,60.951027,-2.1895826,43.068474,-0.8510136,41.798733
Adele - Rolling in the Deep (Official Music Video).mp3,3307500,0.34398016,0.09253141,0.08336909,0.0015691451,2290.945954081669,652841.8871916884,2629.6838332779625,211791.0216675934,5198.093567839348,3586374.3036698983,0.0853301718508127,0.002339982580559984,5.939796e-07,0.0051701064,7.223024e-06,7.223024e-06,103.359375,-175.30779,9788.317,91.02839,741.4443,8.61622,394.44144,20.97932,214.28242,16.472813,131.97562,10.19091,128.10011,5.2021103,97.53229,8.269304,99.47563,0.06503436,83.62618,7.0426307,78.67076,-7.213996,59.189877,6.48374,60.36193,-5.4084334,65.18158,4.9762607,52.026993,0.7819257,75.53407,-3.6484995,105.689095,-1.4438496,93.487724,-2.2286024,96.24864,-5.8096013,97.94985,2.3744304,139.1355
Alan Walker - Faded.mp3,3307500,0.31287086,0.08837962,0.23710953,0.008838743,2362.924878006882,922076.1502599249,2510.2422485573306,485327.3406662421,5103.997470158911,4974876.938937069,0.0985216264754257,0.0028379495682765415,5.863541e-06,0.048680905,-3.902841e-05,-3.902841e-05,89.10290948275862,-55.00383,6842.0923,97.83252,2187.7065,2.529764,286.95755,13.986372,169.51169,3.592159,93.431496,5.857936,145.80083,7.856886,99.67288,3.9989188,101.44749,3.7780735,66.764565,4.1577497,63.64447,-2.6584554,69.648476,1.3537107,81.97916,-0.014909699,79.42438,2.086338,105.56487,-0.047721066,112.4244,6.436271,122.24218,2.379778,100.631966,3.3426073,67.23517,-1.1210661,99.8368,3.832229,136.76051
Amar Pelos Dois.mp3,3307500,0.289249,0.09320425,0.09359645,0.003271661,1268.6262228641492,543988.1601999328,1661.2492994976449,236636.3566090584,2475.8183623984132,2276646.1506700357,0.052011250120936534,0.0024071510605047923,-4.5532497e-06,0.010012956,1.1430859e-05,1.1430859e-05,123.046875,-236.74847,6914.249,140.84256,1658.2882,5.0244117,626.6252,30.480656,352.12885,6.8666186,123.8655,2.9308274,111.17943,-0.94042873,93.7872,0.06283223,78.57806,-4.0223074,90.7291,-1.1888895,95.046684,-6.8735113,66.305435,-1.0448966,84.59856,-2.72672,70.069275,-3.2862334,69.33137,-2.2452579,63.27352,-0.24432573,67.109344,-2.1290677,60.64999,-0.88499314,50.48131,-5.0373726,61.763836,-2.885909,72.28426
Avicii - Hey Brother (Lyric).mp3,3307500,0.3630287,0.08514508,0.2190769,0.004830043,2463.000969065794,735600.5001405762,2440.354795964924,217945.97262448474,5166.627091446159,2785676.2341225413,0.11883405089009288,0.004438333887231613,7.7564e-06,0.03478768,1.9338779e-05,1.9338779e-05,123.046875,-43.159298,6372.5522,82.452576,1080.5896,-5.7628155,414.60757,27.357922,332.26727,1.2616885,250.66216,13.011213,99.504234,-4.0982456,149.96115,4.1747193,123.30453,-5.4477,102.153305,0.29810387,96.50246,-2.0452008,72.38486,2.2562938,89.572136,-5.63202,78.32758,-0.08903521,67.20357,-4.4407406,63.036163,3.0587068,53.401264,-3.0535207,62.3578,0.4844555,49.16108,-3.2334287,50.868816,-2.8274684,60.33708
