filename,genre
a-ha - Take On Me (Official Video) [Remastered in 4K].mp3,reggae
Abba - Dancing Queen (Official Music Video Remastered).mp3,pop
ABBA - Gimme! Gimme! Gimme! (A Man After Midnight).mp3,pop
Abba - Mamma Mia (Official Music Video).mp3,pop
ABBA - Take A Chance On Me (Official Lyric Video).mp3,disco
"AC_DC - Highway to Hell (Live At River Plate, December 2009).mp3",reggae
Adele - Rolling in the Deep (Official Music Video).mp3,jazz
Alan Walker - Faded.mp3,pop
Amar Pelos Dois.mp3,classical
Avicii - Hey Brother (Lyric).mp3,reggae
Baby One More Time - Britney Spears (Lyrics).mp3,pop
Beyoncé - Halo.mp3,pop
Blanka - Solo Poland Official Music Video Eurovision 2023.mp3,hiphop
Bon Jovi - It's My Life (Official Music Video).mp3,reggae
Bridgit Mendler - Ready or Not.mp3,hiphop
Britney Spears - Perfume (Official Video).mp3,pop
Bruno Mars - Talking To The Moon (Official Lyric Video).mp3,pop
Bruno Mars - The Lazy Song (Official Music Video).mp3,reggae
Camila Cabello - Should've Said It (Audio).mp3,pop
Chanel - SloMo (Official Video) [Eurovision 2022].mp3,pop
Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video].mp3,pop
Christina Perri - A Thousand Years [Official Music Video].mp3,disco
Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie) [Official Video].mp3,hiphop
Cláudia Pascoal - O Jardim - Portugal - Official Video - Eurovision 2018.mp3,jazz
Conan Gray - Heather.mp3,pop
David Guetta - This One's For You (Lyrics) ft. Zara Larsson.mp3,pop
Determinate (From Lemonade Mouth) .mp3,pop
DJ Snake - Let Me Love You ft. Justin Bieber.mp3,disco
Dua Lipa - Levitating Featuring DaBaby (Official Music Video).mp3,hiphop
Duncan Laurence - Arcade (Lyrics) ft. FLETCHER.mp3,blues
Duran Duran - Hungry like the Wolf (Official Music Video).mp3,metal
Ed Sheeran - Perfect (Lyrics).mp3,pop
Edmundo Inácio A Festa (Lyric Video) Festival da Canção 2023.mp3,jazz
Evanescence - Bring Me To Life (Official Music Video).mp3,reggae
Fifth Harmony - Work from Home (Official Video) ft. Ty Dolla $ign.mp3,hiphop
Foreigner - I Want To Know What Love Is (Official Music Video).mp3,classical
Guns N' Roses - Sweet Child O' Mine (Official Music Video).mp3,reggae
Harry Styles - As It Was (Official Video).mp3,reggae
Imagine Dragons - Believer (Official Music Video).mp3,reggae
In The End [Official HD Music Video] - Linkin Park.mp3,metal
Its OK LIVE - Nightbirde.mp3,blues
James Arthur - Say You Won't Let Go.mp3,pop
John Legend - All of Me (Official Video).mp3,blues
Katy Perry - Dark Horse ft. Juicy J.mp3,hiphop
Keane - Somewhere Only We Know (Official Music Video).mp3,pop
Käärijä - Cha Cha Cha _ Finland 🇫🇮 _ Official Music Video _ Eurovision 2023.mp3,reggae
"Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video).mp3",disco
Lewis Capaldi - Someone You Loved.mp3,rock
Lewis Capaldi - Wish You The Best (Official Video).mp3,pop
Loreen - Tattoo (Official Lyric Video).mp3,pop
Madonna - Into The Groove (Official Video).mp3,pop
Madonna - Material Girl (Lyrics).mp3,pop
Mahmood - Soldi - Italy 🇮🇹 - Official Music Video - Eurovision 2019.mp3,hiphop
Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars.mp3,reggae
Maroon 5 - Middle Ground (Official Music Video).mp3,reggae
Maroon 5 - Sugar (Lyrics).mp3,reggae
Michael Bublé - Home [Official Music Video].mp3,classical
Michael Jackson - Thriller (lyrics).mp3,disco
Miley Cyrus - Flowers (Official Video).mp3,hiphop
Måneskin - Beggin’ (Official Video).mp3,hiphop
Numb (Official Music Video) [4K UPGRADE] – Linkin Park.mp3,reggae
Olivia Rodrigo – drivers license (Lyrics).mp3,pop
One Direction - Story of My Life.mp3,disco
OneRepublic - Counting Stars.mp3,disco
Os Quatro e Meia - A Terra Gira.mp3,blues
P!nk - Just Give Me A Reason ft. Nate Ruess.mp3,pop
